Tweets,Polarity,Tweets1,Polarity1
Semoga .. dimasa pandemi ini virus corona / covid-19 hilang Aminn.... ,0.0,The blood of every single migrant worker will be on HIS hands. The unplanned lockdown by his government has created such a havoc across the country. This is what happens when a majority of the nation puts some illiterate science ignoring bunch of idiots in power. ,-0.2904761904761905
"Mutei a palavra Bolsonaro, covid-19, corona, e qualquer outra palavra q nego spammar eu muto. Daí minha tl fica só as coisas legais, e se eu quiser ver disgraça, vou nos em altas",0.0,"Government Machinery may relax or withdraw Lock down, but request every one to follow it very strictly. You are only a number to the Government but you are whole world to your family whose life is centered around you .. Remember it always. Wishing you healthy and safe life",0.2074074074074074
"#Covid-19 (#corona) vaccine is still unknown, but the #anonymus cure sought against perversion, brutality and fascism has arrived: #Anonymousisback",-0.1,Bas yahi Sahi baat Kahi Aapne yeh lockdown tha Gali cricket Nahi Jo Bina plan ke lagu kar Diya. Aur questions ruling government SE karte hai opposition SE Nahi. ,0.0
"Dear Beloved Community This is a very useful Information about COVID-19 (Sars.CoV.2) - It brings enlightenment for people who have no idea about the New Corona Virus, please help me out with this and retweet it. https://youtu.be/aCcpNob8cak",0.4087878787878787,"Adarsh liberals have had a meltdown after watching Shri @AmitShah Ji's interview with Arnab Goswami today. He has presented figures of the work done by the Government during the lockdown. Unlike the opposition, which is high on rhetoric and bereft of ideas. #AmitShahOnRepublic",0.16
Mungkin kelompok mereka ini yang menularkan Covid-19 paling banyak di Jatim. Peringkat ke dua se Indonesia jumlah positif Corona di daerah ini.,0.0,"What has the government’s done during the lockdown? What is the difference between making the entire hospital checkable by compiling data on the population of Ktm and tightening the gates and opening them from the inside out and not allowing them to come in from the outside? – at Chhauni, Musuem Road",0.0
Hi! Hello!! I have a question bc I’ve been reading this book and it mentions the corona virus BUT the book was published in June 2019.... was covid-19 active before November??,-0.13333333333333333,Students and unemployed job aspirants all across the country have been hit hard due to the #lockdown. They are not in a condition to pay rent right now. I request the respective state governments to bring a waiver for at least 4 months' rent for such students. #PayOurRoomRent – at pratap nagar,-0.07182539682539683
Nachricht: http://tinyurl.com/yd8kso2y Corona-Krise: Mehr oder weniger Staat nach Covid-19? #news http://dlvr.it/RXkSGP,0.0,"On easing lockdown, we asked government for a debate. @smadixit and I explained why #lockdown should be eased on Kantipur TV @ourktv on 9 pm show. We both said government does not have a plan, perhaps that's why they avoided coming to the debate.",0.0
Ngano murag chill rakay ang tanan sa Corona oy? Okay ramo? Basin lang bah kalimot ta ang Covid 19 long term na siya di na siya pariha sa inyung ka mu na pang short term aw,0.15,"Congratulations to all final year students of Maharashtra. You all are promoted on the basis of your previous semester performance. Those who wants to upgrade their marks, they can give ￼￼￼￼￼￼￼￼￼volunteer exam after lockdown. Thanks to #MahaVikasAghadi Government. ",0.05833333333333334
Residents of North Nazimabad Praising Team PPP District Central Karachi for anti Corona Spray Campaign against Covid_19. @BBhuttoZardari @BakhtawarBZ @AseefaBZ @sherryrehman @ShahNafisa @NazBaloch_,0.0,Do you expect that the country be perennially under a lockdown. Time you guys stop politicizing #COVID19 challenges and work with the government to ensure #India come out a winner. Further it’s really shameful when top politicians like you ridicule #India,0.2333333333333333
#firstnations #nodapl #southdakota #pineridge #coronavirus #corona #covid19 #covid_19 #virus #infection #checkpoint #lawsuit #honorthetreaties #rona #sioux #cheyanne #poetry #riots2020 #riots #prayers #pray #spirituality #history,0.0,When there were less number of COVID cases there was more strict lockdown &amp; when there are more much +ve cases government is going to unlock. #incrediblekashmir #IncredibleIndia,0.25833333333333336
Good news #CoronaWarriors A corona patient fell in love with the dr who treated him. He took 2 months n after that they got engaged in hospital of Egypt. #COVID__19 ,0.6,"#BiharFightsCorona #Lockdown5 Bihar government decided to implement Lockdown guidelines of Union home ministry in toto, no alterations for June bound #Covid19 5th phase lockdown. #airnewspatna.",0.0
