Tweets,Polarity,Tweets1,Polarity1
I subject people to COVID-19 jokes taking risks wanting laughs even if they spew virus cells at me. Maybe we need a racial slur for the new virus not Corona or Covid preparing for its mutations. I must call for boos for everyone investing in PPE wanting it forced to clean up.,0.4215,Boris Johnson depends Government over 'lost week' before Leicester lockdown ,-0.3182
" Corona Alert | 03 more tested positive for COVID- 19, arrivals from one patient #Dubai others #Bangladesh, raising the total in Sri Lanka to 2,053. #lka #SriLanka #COVID19SL #CoronaUpdate #Covid19 #stayhome #coronavirus #outbreak #CoronavirusOutbreak #CoronavirusPandemic",0.7251,The government again started imposing #lockdown in the fear of #coronavirus in almost all cities in Maharashtra. Is it really required?,-0.5574
Corona virus is the same as in the common cold. How many asymptomatic patients with Corona have common cold anti-virals as opposed to CoVid 19? Where's the science?,0.0,"Over since the government ceased the lockdown rules from the second week of June, taxi drivers have been raising their voice demanding that they too be allowed to work. http://to.st/38eoU7H — by @AnupOjha7",-0.2263
If you get covid 19 can we say roonaa got corona ,0.0,"The situation in COVID is getting worse even in Bengaluru. Is the Indian government is slowly releasing the lockdown, however, it makes us feel anxious. One of the reason is my immune system disease. To, my family declared self lockdown again from st of July to the end of July.",-0.4404
"Covid-19 is doing their thing ..... The Republicans are following their president in not wearing Masks.... Its only a matter of time before they get infected by Corona &amp; be among the Covid-19 stats.... 130,000 dead.",-0.8126,"With Telangana government pulling the possibility of re-enforcing complete lockdown, there has been a mad rush of Andhra people going back to their native places (report by @asrao2009)",-0.4939
"Maharashtra Corona Cases: Record single-day spike of 5,537 Covid-19 cases | Mumbai News – Times of India ",0.0,Easing lockdown “highly irresponsible” warns of government adviser – BBC News ,0.1531
Can speaker of the National Assembly Asad Qaisar shared the list of Parliamentarians suffering from Corona Virus COVID-19 and they are PTI MNAs. If it's so why the health and safety of members were compromised.....?,0.2732,"Our of said there won't be Lockdown any more, and we are back to locking the entire city. Such confused and indecisive government.",-0.5106
Breaking News: COVID19 Disinfection Solution Found by GermMD 866-493-4916 http://meetmeattheopera.com/breaking-news-… Every Life Counts #Coronavirus #Covid19 #CoronavirusUpdates #Corona #CoronaVirusSA #Covid_19 #COVID #disinfection #CovidDisinfection #sanitizer #sanitisers #healthcare #GermMD,0.3182,"Government has land us in a position it's better to give shoot at sight order . Anyway people will die due to lockdown with no money food. Went electricity Mania hospital Mania, school Mania, what left . Must forcing rules doesn't make a sensible decision or future",-0.6808
"Ageed, but I'm in Health field and look at numbers. Every day in USA about 7,900 people die of something Other than #Covid_19 About 600 on average have sadly died from corona Current Active Cases are 1/2 of 1% of population.",-0.9081,Air we will follow the lockdown rules and guideline given by government sincerely,0.4767
on CNN someone just claimed that he got sick due to Covid-19 just after 2 days .after going to a Bar.. well it takes at least 6-14 days to develop symptoms ... this kind of reporting can play in the hands of corona sceptics ... his timeline is not adding up with study-data,-0.128,After the cinematic government of implementing a waste 100 days lockdown it's getting like 100+1/ 2 now extend till th july Thundering Thursday 2 July 2020 Happens UPDATE CALLS gets its approval on projects it's planning to do in CCS infrastructure &amp; LED lighting,0.5423
