Tweets,Polarity,Tweets1,Polarity1
"Until Corona-money stop coming from IMF and world bank, African countries will never stop confirming new coronavirus cases. COVID-19 is a virus is the West and Asia but a big business in Africa. ""Get rich or die trying"" is the new slogan of African leaders.",0.10795454545454546,It's all because of the stupied action taken by the government before Eid is lockdown ko agar band he rehnay detay to yea na hota,0.1
"I literally hear nothing but facts. They've already forgot about covid 19, and supporting the riots and protests going on rn, before it was ""no one can go on the beach or skate parks because of corona virus"" now its ""get out there and protest and riot""",0.25,Open lockdown. Disease spreads. Overloads hospitals. Costs government millions. Overloaded hospitals means death toll is a lot higher.,0.125
#CoronaVirus | 30 new COVID-19 cases have been reported today being the most Corona Virus cases in one day in Libya. - 18 from Sabha - 10 from Tripoli - 1 from Surman - 1 from Misurata returning from Sabha #COVID19 #Tripoli #Misurata #Sabha #Surman #WashYourHands #StayHome,0.3181818181818182,This is hight time Doe must follow central government order of paying guest teachers salaries during lockdown.,0.0
"7 day corona? It does not take 14 days after infection to become positive for COVID-19, it can happen any time up to 14 days",0.22727272727272727,"Yes, I don't mind the lockdown being a surprise (I think it should have been a surprise if it had to have any real impact) But it should have been a happy surprise, the center could have coordinated with State governments before announcement, yes it would not have been as (1/2)",0.3
"The fear for Corona virus has decreased as the case is increasing. In Nigeria,we are not flattening the spread of COVID 19 rather we are flattening the fear.",-0.4,"The lockdown enforced by the Central Government could have been delayed by a couple of weeks (only inter-state travel &amp; flights off). Moreover, the Centre should have ensured decentralisation of the lockdown, where the onus is more on the States.",0.16666666666666666
Last updated: 2020-06-05 23:05:01+00:00GMT Coronavirus [COVID-19] Cases: 6823217 Deaths: 397322 #corona #coronavirus #COVID19,0.0,Punjab Maharashtra CMs extended Lock down even before central government announced it. Are you going to take action against Punjab CM?,-0.018518518518518528
"COVID-19 in Iran and Turkey: Mismanagement, Crackdowns, Economic Crises, and Corona-Diplomacy. ",0.2,Mukesh Ambani has raised more money in lockdown than divestment target of Government of India! 93k crores from Jioplatform stake sale and 55k crores from Right! #Unreal,0.49107142857142855
Some of the covid 19 frontliners. @dvjmercypro @sheilasalta u guys have indeed fought corona #NBSKatchup,0.0,"Mr Rahul Gandhi why a CMs of congress ruled states are far ahead of rest of CMs of all other states,to asked central government to enhance the period of more stricter lock down,don't try to make a fool to the people of country,@INCIndia,@BJP4India,@narendramodi_in,@AmitShah.",0.11875
"A midist all this melancholy caused by Corona virus and death caused by covid 19. There is a, solution here.. Take a look ",0.0,Hi bro but i think as the growth rate is very high in our delhi we should either go for lockdown once again so that we can control this pandemic again otherwise we will be on the top in covid 19 positive case list .Rest our government is doing well but still we had to luk into it ,0.31175757575757573
"Precautions, awareness are necessary thing to fight against corona virus. But fear, anxiety will kill us mentally &amp; physically to fight against covid 19. Indian media should remember this.",-0.03333333333333333,India lockdown has been fail bit indian government say something india lockdown pass nice joking indian government,0.04999999999999999
Facebook is asking me to fill research questionnaire for COVID-19. There's nothing to fill about Corona in Nigeria aprrt from increasing numbers and increasing corruption under Corona.,0.0,Credit goes to the Karnataka government. Salute @BangalorTraffic for regulating the lockdown.,0.0
Corona has mutated and understands the good cause of the George Soros clowns. Please make the donation of $100 dollars to the Antifa Biden Bailout fund in care of Covid 19. :),0.6,"#The Government and the SC ride on tandem. #Coronavirus lockdown | Deaths in Shramik trains not due to lack of food, water, says government: ",0.0625
"INCREDIBLY FRIGHTENING FIGURES 1,893,934 Corona Virus infections 109,000 COVID-19 deaths 40,000,000 Unemployed 2,950 federal officers deployed against protesting citizens 17 protesters killed.",-0.35,"Rahul Gandhi Roasts Centre For ""Failed Lockdown"" With 5-Graph Tweet For weeks, Rahul Gandhi has critiqued the government's handling of the COVID-19 pandemic, the subsequent lockdown and the devastating effects on India's poor. ",-0.475
"in the re-emergence of corona virus.... much publicised BAME bias of covid-19 deaths, unsure why... maybe high proportion on NHS workers by % population? close knit communities? surely group protesting of same BAME genetics is a bad idea... ? 100% agree BLM indeed ALM (1 race!)",-0.0029999999999999584,Incredible government and its lockdown timing... Unable to understand #lockdownindia #lockdownextension #government #CoronavirusIndia @KTRTRS @kcr @PMOIndia @AmitShah @narendramodi,0.2
England Coronavirus (COVID-19) death trend (datasource: Department of Health and Social Care). #coronavirus #England #Corona #covid19 #Covid19UK,0.03333333333333333,Kerala should learn to co-exist with covid. Cannot remain in lockdown for ever says @vijayanpinarayi. He was justifying Government's stand on re-opening religious places in spite of stiff opposition by IMA.,-0.10714285714285714
"Want more? Why do some #Covid-19 patients infect many others, whereas most don’t spread the virus at all? | Science | AAAS „A study in Japan found that the risk of infection indoors is almost 19 times higher than outdoors.“ #Covid_19 #Corona ",0.4375,"Amidst a pandemic, lock down and a hammered economy, where people are struggling to survive how will they pay huge University fees? Government should waive fees this semester for all students and financially support universities through special grants. #NoUniFeeInPandemic",0.15039682539682542
"With COVID-19, everything seems fine until your hospitals are full. Then you're screwed. Corona virus targets the short-sighted.",0.3833333333333333,Any update about next lockdown by government,0.0
New post (Corona crisis: Is female leadership superior? | COVID-19 Special) has been published on Coronavirus News - https://viruszone.org/corona-crisis-is-female-leadership-superior-covid-19-special/,0.29837662337662335,Irony is not only issuing the Semester Fee Vouchers but also imposing Late Fee Charges during this COVID-19 Lockdown. The government and the HEC must take immediate action and necessary steps to facilitate the students. #NoUniFeeInPandemic,-0.049999999999999996
"While many of us are working from home to keep our communities safe during COVID-19, it may be difficult for some to get used to! Here are some tips to keep you and your team productive this week. - http://www.workaholics24hrs.com #workaholics24hrs_ #corona #coronavirus",0.125,"Today is World Environment Day but it's unfortunate that the policies of the BJP government are not environment friendly. Amid the nationwide lockdown, (NBWL) has recommended the commencement of coal...1/2 #BJPseEnvironmentBachao",-0.0625
"Doctors would say different. Here’s a view about COVID-19 that I believe is supported by all previous science (remember corona virus outbreaks are not new): if we had done nothing the outbreak would be over by now. Outdoors viruses do not spread so easily. Indoors, viruses thrive",0.04962121212121213,"Today, @ShifaMaitra, tells you about the 8 year old boy from Karnataka who talks to birds in their language and they reply back. Also find out how whatsapp is being used to school children under lockdown by the Delhi government. Tune in: http://ivm.today/SiE-30 #IVMPodcasts – at Indus Vox Media",0.05
"As Demented Donald says, it's not the Corona-virus. It's just harmless Covid-19",0.0,"Hunger is not transmitted but corona is, Hunger can be addressed with efforts but no cure for corona. Think wisely save our people as government failed to implement SOPs. We can’t see our people dying anymore, Impose lockdown. #ImposeCompleteLockdown #COVID19Pakistan",0.09999999999999998
but especially ! An ordinary mask does not provide protection for covid 19 (corona). usually worse actually!,-0.3,"Mid March : Covid-19 is a serious threat, social distancing is a must to flatten the curve. The government must adopt Wuhan-style lockdown. June start : Lockdown has only flattened the GDP curve. Bad time to be in government! Either way - you are criticised",-0.23499999999999996
"Germany announced COVID-19 is a global false alarm. Staged event by the democratic party. False corona virus. False shutdown. False testing. False vaccines. False facial masking. False Contact Tracing. Now, mail-in ballots? America, they are playing us. ",-0.3111111111111111,On this 09may2020 during lockdown period my organization verbally told me that from today onwards I m no longer a employee of company without any reason and for all this they don't follow any government guidelines and don't gave me any notice or information on mail or msg.,0.0
Exclusive: CORONA Virus-COVID-19 https://exclusive-2020.blogspot.com/2020/05/corona-virus-covid-19.html?spref=tw,0.0,Dear government! On #WorldEnvironmentDay2020 Consider reopening the metro in a responsible way. We partly reversed pollution during the lockdown. Can we learn from it and reduce vehicular traffic where possible!,0.1
Ireland (ROI) Coronavirus (COVID-19) death trend (datasource: Government of Ireland). #coronavirus #Ireland #Corona #covid19,0.0,"Government focus right now should be on enabling us to survive while under lockdown, allowing us to earn while at home. Allowing full access to PayPal now would allow us to make an income from abroad while staying at home. We need this now more than ever. @faya_i @yumna_maumoon",0.37857142857142856
Last updated: 2020-06-05 22:05:01+00:00GMT Coronavirus [COVID-19] Cases: 6808317 Deaths: 396877 #corona #coronavirus #COVID19,0.0,"Hunger is not transmitted but corona is, Hunger can be addressed with efforts but no cure for corona. Think wisely save our people as government failed to implement SOPs. We can’t see our people dying anymore, Impose lockdown. #ImposeCompleteLockdown #COVID19Pakistan",0.09999999999999998
"The ""Swedish model"" when it comes to covid 19 (Corona) Has always been about the individual's personal responsibility. This means that each individual is expected to take their own responsibility for the health of others. AND therfore keep Social DISTANCE to ALL.",0.08888888888888889,"The government on Thursday announced new rules for allowing shopping malls, restaurants, hotels and places of worship to open gradually following the nationwide COVID-19 lockdown. https://www.ndtv.com/india-news/staggering-of-visitors-in-malls-no-touching-idols-at-religious-places-new-guidelines-from-june-8-2240895 https://m.facebook.com/story.php?story_fbid=10158851226060798&amp;id=102527030797&amp;sfnsn=wiwspmo&amp;extid=NzFUhFgyh9ZVBffe&amp;d=n&amp;vh=e",0.04545454545454545
"#APY4813 Effects of corona virus hit consumption in the tourism industry both pictures were taken at the national ZOO in different times picture on the left during Covid 19 lockdown and the other before the pandemic changed our social lives, behaviour and culture of interaction ",-0.02291666666666667,"We have utilised the lockdown period to plan make more beds available; the extra ""Cover"" was not part of that plan it seems Delhi government plans extra ‘cover’ for seniors | Delhi News - Times of India ",0.225
"Covid 19 in Pakistan In 24 hours, 4,896 Confirmed Cases out of 22,812 Corona Tests Percentage 21.5% (4,896÷22,812×100) Alarming situation More awareness More care More safety #Pakistan #Islamabad #Punjab #Sindh #kpk #Balochistan #AJK #GilgitBaltistan #GB",0.36,"4. When we went under lockdown, the idea was for the government to prepare for the rising cases. They still make tall claims on news channels but the ground reality is different. People are dying because facilities are limited compared to the spread of pandemic. #arvindkejriwal",-0.03571428571428571
"@lexiconvalley just to be extra pedantic, COVID-19 is not the more specific of Corona or Coronavirus. SARS-CoV-2 is. COVID-19 is the disease caused by SARS-CoV-2, like AIDS is the disease caused by HIV.",0.16666666666666666,"Instead of using its grain stocks to feed the poor and hungry during the coronavirus-lockdown crisis, the Indian government is letting this food rot in its godowns. https://scroll.in/article/963535/india-let-65-lakh-tonnes-of-grain-go-to-waste-in-four-months-even-as-the-poor-went-hungry via @scroll_in @asia_floorwage @WHO @WBG_Poverty @povertynews @OutofPoverty @poverty_action",-0.4
