Tweets,Polarity,Tweets1,Polarity1
"Until Corona-money stop coming from IMF and world bank, African countries will never stop confirming new coronavirus cases. COVID-19 is a virus is the West and Asia but a big business in Africa. ""Get rich or die trying"" is the new slogan of African leaders.",0.10795454545454546,It's all because of the stupid action taken by the government before Did is lockdown to agar band he repay delay to yea na hot,-0.15
"I literally hear nothing but facts. They've already forgot about covid 19, and supporting the riots and protests going on rn, before it was ""no one can go on the beach or skate parks because of corona virus"" now its ""get out there and protest and riot""",0.25,Open lockdown. Disease spreads. Overloads hospitals. Posts government millions. Overloaded hospitals means death toll is a lot higher.,0.125
#CoronaVirus | 30 new COVID-19 cases have been reported today being the most Corona Virus cases in one day in Libya. - 18 from Sabha - 10 from Tripoli - 1 from Surman - 1 from Misurata returning from Sabha #COVID19 #Tripoli #Misurata #Sabha #Surman #WashYourHands #StayHome,0.3181818181818182,His is right time Toe must follow central government order of paying guest teachers salaries during lockdown.,0.14285714285714285
"7 day corona? It does not take 14 days after infection to become positive for COVID-19, it can happen any time up to 14 days",0.22727272727272727,"Yes, I don't mind the lockdown being a surprise (I think it should have been a surprise if it had to have any real impact) But it should have been a happy surprise, the center could have coordinate with State governments before announcement, yes it would not have been as (1/2)",0.3
"The fear for Corona virus has decreased as the case is increasing. In Nigeria,we are not flattening the spread of COVID 19 rather we are flattening the fear.",-0.4,"The lockdown enforced by the Central Government could have been delayed by a couple of weeks (only inter-state travel &amp; flights off). Moreover, the Centre should have ensued decentralisation of the lockdown, where the ones is more on the States.",0.16666666666666666
Last updated: 2020-06-05 23:05:01+00:00GMT Coronavirus [COVID-19] Cases: 6823217 Deaths: 397322 #corona #coronavirus #COVID19,0.0,Punjab Maharashtra was extended Lock down even before central government announced it. Are you going to take action against Punjab of?,-0.018518518518518528
"COVID-19 in Iran and Turkey: Mismanagement, Crackdowns, Economic Crises, and Corona-Diplomacy. ",0.2,Dukes Ambani has raised more money in lockdown than investment target of Government of India! ask cross from Jioplatform stake sale and ask cross from Right! #Unreal,0.24553571428571427
Some of the covid 19 frontliners. @dvjmercypro @sheilasalta u guys have indeed fought corona #NBSKatchup,0.0,"Or Paul Gandhi why a was of congress ruled states are far ahead of rest of was of all other states,to asked central government to enhance the period of more stricter lock down,don't try to make a fool to the people of country,@INCIndia,@BJP4India,@narendramodi_in,@AmitShah.",0.11875
"A midist all this melancholy caused by Corona virus and death caused by covid 19. There is a, solution here.. Take a look ",0.0,I brow but i think as the growth rate is very high in our delhi we should either go for lockdown once again so that we can control this anaemic again otherwise we will be on the top in could 19 positive case list .West our government is doing well but still we had to luck into it ,0.31175757575757573
"Precautions, awareness are necessary thing to fight against corona virus. But fear, anxiety will kill us mentally &amp; physically to fight against covid 19. Indian media should remember this.",-0.03333333333333333,India lockdown has been fail bit indian government say something india lockdown pass nice joking indian government,0.04999999999999999
Facebook is asking me to fill research questionnaire for COVID-19. There's nothing to fill about Corona in Nigeria aprrt from increasing numbers and increasing corruption under Corona.,0.0,Credit goes to the Karnataka government. Salute @BangalorTraffic for regulating the lockdown.,0.0
Corona has mutated and understands the good cause of the George Soros clowns. Please make the donation of $100 dollars to the Antifa Biden Bailout fund in care of Covid 19. :),0.6,"#The Government and the of ride on tender. #Coronavirus lockdown | Deaths in Shramik trains not due to lack of food, water, says government: ",0.0625
"INCREDIBLY FRIGHTENING FIGURES 1,893,934 Corona Virus infections 109,000 COVID-19 deaths 40,000,000 Unemployed 2,950 federal officers deployed against protesting citizens 17 protesters killed.",-0.35,"Paul Gandhi Coasts Centre For ""Failed Lockdown"" With 5-Graph Sweet For weeks, Paul Gandhi has critique the government's handling of the COVID-19 anaemic, the subsequent lockdown and the devastating effects on India's poor. ",-0.30999999999999994
"in the re-emergence of corona virus.... much publicised BAME bias of covid-19 deaths, unsure why... maybe high proportion on NHS workers by % population? close knit communities? surely group protesting of same BAME genetics is a bad idea... ? 100% agree BLM indeed ALM (1 race!)",-0.0029999999999999584,Incredible government and its lockdown timing... Unable to understand #lockdownindia #lockdownextension #government #CoronavirusIndia @KTRTRS @for @PMOIndia @AmitShah @narendramodi,0.2
England Coronavirus (COVID-19) death trend (datasource: Department of Health and Social Care). #coronavirus #England #Corona #covid19 #Covid19UK,0.03333333333333333,Herald should learn to co-exist with could. Cannot remain in lockdown for ever says @vijayanpinarayi. He was justifying Government's stand on re-opening religious places in spite of stiff opposition by IMA.,-0.10714285714285714
"Want more? Why do some #Covid-19 patients infect many others, whereas most don’t spread the virus at all? | Science | AAAS „A study in Japan found that the risk of infection indoors is almost 19 times higher than outdoors.“ #Covid_19 #Corona ",0.4375,"Midst a anaemic, lock down and a hammered economy, where people are struggling to survive how will they pay huge University fees? Government should wave fees this smelter for all students and financially support universities through special grants. #NoUniFeeInPandemic",0.15039682539682542
"With COVID-19, everything seems fine until your hospitals are full. Then you're screwed. Corona virus targets the short-sighted.",0.3833333333333333,Any update about next lockdown by government,0.0
New post (Corona crisis: Is female leadership superior? | COVID-19 Special) has been published on Coronavirus News - https://viruszone.org/corona-crisis-is-female-leadership-superior-covid-19-special/,0.29837662337662335,Irony is not only issuing the Semester See Pouches but also imposing Late See Charges during this COVID-19 Lockdown. The government and the HEC must take immediate action and necessary steps to facilitate the students. #NoUniFeeInPandemic,-0.049999999999999996
"While many of us are working from home to keep our communities safe during COVID-19, it may be difficult for some to get used to! Here are some tips to keep you and your team productive this week. - http://www.workaholics24hrs.com #workaholics24hrs_ #corona #coronavirus",0.125,"Today is World Environment May but it's unfortunate that the policies of the BJP government are not environment friendly. Amid the nationwide lockdown, (NBWL) has recommended the commencement of coal...1/2 #BJPseEnvironmentBachao",-0.0625
"Doctors would say different. Here’s a view about COVID-19 that I believe is supported by all previous science (remember corona virus outbreaks are not new): if we had done nothing the outbreak would be over by now. Outdoors viruses do not spread so easily. Indoors, viruses thrive",0.04962121212121213,"Today, @ShifaMaitra, tells you about the 8 year old boy from Karnataka who talks to birds in their language and they reply back. Also find out how whatsapp is being used to school children under lockdown by the Delhi government. June in: http://iv.today/in-30 #IVMPodcasts – at Ends Box Media",0.05
"As Demented Donald says, it's not the Corona-virus. It's just harmless Covid-19",0.0,"Hunger is not transmitted but corona is, Hunger can be addressed with efforts but no cure for corona. Think wisely save our people as government failed to implement SOPs. He can’t see our people dying anymore, Impose lockdown. #ImposeCompleteLockdown #COVID19Pakistan",0.09999999999999998
but especially ! An ordinary mask does not provide protection for covid 19 (corona). usually worse actually!,-0.3,"Did March : Moved-19 is a serious threat, social distending is a must to flatten the curve. The government must adopt Than-style lockdown. June start : Lockdown has only flattened the GDP curve. Had time to be in government! Either way - you are criticized",-0.09999999999999999
"Germany announced COVID-19 is a global false alarm. Staged event by the democratic party. False corona virus. False shutdown. False testing. False vaccines. False facial masking. False Contact Tracing. Now, mail-in ballots? America, they are playing us. ",-0.3111111111111111,In this 09may2020 during lockdown period my organization verbally told me that from today onwards I m no longer a employee of company without any reason and for all this they don't follow any government guideline and don't gave me any notice or information on mail or mug.,0.0
Exclusive: CORONA Virus-COVID-19 https://exclusive-2020.blogspot.com/2020/05/corona-virus-covid-19.html?spref=tw,0.0,Dear government! In #WorldEnvironmentDay2020 Consider reopening the retro in a responsible way. He partly reversed pollution during the lockdown. An we learn from it and reduce reticular traffic where possible!,0.1
Ireland (ROI) Coronavirus (COVID-19) death trend (datasource: Government of Ireland). #coronavirus #Ireland #Corona #covid19,0.0,"Government focus right now should be on enabling us to survive while under lockdown, allowing us to earn while at home. Allowing full access to PayPal now would allow us to make an income from abroad while staying at home. He need this now more than ever. @faya_i @yumna_maumoon",0.37857142857142856
Last updated: 2020-06-05 22:05:01+00:00GMT Coronavirus [COVID-19] Cases: 6808317 Deaths: 396877 #corona #coronavirus #COVID19,0.0,"Hunger is not transmitted but corona is, Hunger can be addressed with efforts but no cure for corona. Think wisely save our people as government failed to implement SOPs. He can’t see our people dying anymore, Impose lockdown. #ImposeCompleteLockdown #COVID19Pakistan",0.09999999999999998
"The ""Swedish model"" when it comes to covid 19 (Corona) Has always been about the individual's personal responsibility. This means that each individual is expected to take their own responsibility for the health of others. AND therfore keep Social DISTANCE to ALL.",0.08888888888888889,"The government on Thursday announced new rules for allowing shopping walls, restaurant, hotels and places of worship to open gradually following the nationwide COVID-19 lockdown. http://www.not.com/india-news/staggering-of-visitors-in-walls-no-touching-idol-at-religious-places-new-guideline-from-june-8-2240895 http://m.facebook.com/story.pp?story_fbid=10158851226060798&amp;id=102527030797&amp;sense=wiwspmo&amp;extend=NzFUhFgyh9ZVBffe&amp;d=n&amp;oh=e",0.04545454545454545
"#APY4813 Effects of corona virus hit consumption in the tourism industry both pictures were taken at the national ZOO in different times picture on the left during Covid 19 lockdown and the other before the pandemic changed our social lives, behaviour and culture of interaction ",-0.02291666666666667,"He have utilised the lockdown period to plan make more beds available; the extra ""Over"" was not part of that plan it seems Delhi government plans extra ‘cover’ for seniors | Delhi News - Times of India ",0.225
"Covid 19 in Pakistan In 24 hours, 4,896 Confirmed Cases out of 22,812 Corona Tests Percentage 21.5% (4,896÷22,812×100) Alarming situation More awareness More care More safety #Pakistan #Islamabad #Punjab #Sindh #kpk #Balochistan #AJK #GilgitBaltistan #GB",0.36,"4. When we went under lockdown, the idea was for the government to prepare for the rising cases. They still make tall claims on news channels but the ground reality is different. People are dying because facilities are limited compared to the spread of anaemic. #arvindkejriwal",-0.03571428571428571
"@lexiconvalley just to be extra pedantic, COVID-19 is not the more specific of Corona or Coronavirus. SARS-CoV-2 is. COVID-19 is the disease caused by SARS-CoV-2, like AIDS is the disease caused by HIV.",0.16666666666666666,"Instead of using its grain stocks to feed the poor and hungry during the coronavirus-lockdown crisis, the Indian government is letting this food rot in its gowns. http://stroll.in/article/963535/india-let-65-lake-tones-of-grain-go-to-waste-in-four-months-even-as-the-poor-went-hungry via @scroll_in @asia_floorwage @WHO @WBG_Poverty @povertynews @OutofPoverty @poverty_action",-0.4
"Proud of dr Hashim achakzai,covid 19 positive and developed L/pneumonia,admitted in corona ward Shihkh Zahid Hospital Quetta, but still working with serious patients who are covid 19 positive and sever pneumonia.@LiaquatShahwani @HamidMirPAK",0.20424242424242428,"In view that daily wage earners are hardest hit, the parliament & government should shift the Samsad Most Fund to pay them some राof until the lockdown, which is an important strategy for preventing the CCOVID 19 !",0.3333333333333333
#ICYMI: Chinese Journalist Li Gang on Arabic-Language Chinese TV: Trump Is Falsely Accusing China Regarding COVID-19 in Order to Make Excuses for His Incompetence; There Will Be A Post-Corona U.S.-China Conflict; China Will Be a Leader in the New World Order ,-0.06590909090909093,"That about those informal sector people who don't have that ""Pass Permit""? It's been almost more than 70 days and I wonder how those people are living? Must because of our government uncertain lockdown decision those are having hunger problem.",0.5
I keep seeing a ‘spike in corona virus updates’ that are being linked to protests... but what protestor would go straight from a protest to get tested over covid 19 symptoms?doesn’t it take 3 days to get a test back? doesn’t it take 7-14 days to even show symptoms?,0.1,Not Only Lockdown Is Nail The Government Is Also Nail For Last 6 Mrs In Notebandi GST Economy Exports Mob Collar Price In India Corruption Farmers Ok Pal Only of Was One World Your of Is Involved In Delhi Riots of To Budget For Door All Back Of of Real Showing Red Eyes,0.09999999999999999
Widespread inflammation because if covid19. Could this possibly explain the children with kawasaki-like symptoms? #COVID2019dk #covid19 #SARS-COV-2 #corona #coronavirus #Covid_19 #COVID19,0.0,"I #ModiJi and #NirmalaSitharaman, can we expect any financial support from the government for all the loss incurred due to make expiration in this lockdown? #Lockdown5 Hours sincerely, Makeup harder ",0.06875
High blood pressure patients face TWICE the risk of #COVID -19 death https://www.dailymail.co.uk/news/article-8388817/Patients-high-blood-pressure-face-TWICE-risk-dying-Covid-19.html?ito=amp_twitter_share-top via @MailOnline #Corona #Blutdruck,0.16,Lockdown has actually failed it's purpose. It is a fact the business and leaders are scared to publicly talk about the government..rare occasion when a sitting of for 6 years is not questioned about economy and sadly still the Congress party is questioned.? #बेof्म_भाofा,-0.3333333333333333
Israel is more dangerous to the world than the Corona #Covid_19 #احتلال_وليست_دوله,-0.04999999999999999,"Very day we are fighting the #COVID19 epidemic There is a situation of migration in many places in the country. Any people suffer from starvation and helplessness. Therefore, the government should forgive the electricity bill during this lockdown. #BijliBillMaafKaro @PMOIndia",0.35
